Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
5954000;595400;Deterioro de valor de créditos a C/P a asoc.;595400;Deterioro de valor de créditos a corto plazo a empresas asociadas
5955000;595500;Deterioro de valor de créditos a C/P a otras vinc.;595500;Deterioro de valor de créditos a corto plazo a otras partes vinculadas
5970000;597000;Deterioro valor valores representativos deuda C/P;597000;Deterioro de valor de valores representativos de deuda a corto plazo
5980000;598000;Deterioro de valor de créditos a C/P;598000;Deterioro de valor de créditos a corto plazo
6000000;600000;Compras de mercaderías;600000;Compras de mercaderías
6010000;601000;Compras de materias primas;601000;Compras de materias primas
6020000;602000;Compras de otros aprovisionamientos;602000;Compras de otros aprovisionamientos
6060000;606000;Descuentos sobre compras pronto pago mercaderías;606000;Descuentos sobre compras por pronto pago de mercaderías
6061000;606100;Descuentos sobre compras pronto pago, mat.primas;606100;Descuentos sobre compras por pronto pago de materias primas
6062000;606200;Descuentos sobre compras pronto pago, otros aprov.;606200;Descuentos sobre compras por pronto pago de otros aprovisionamientos
6070000;607000;Trabajos realizados por otras empresas;607000;Trabajos realizados por otras empresas
6080000;608000;Devoluciones de compras de mercaderías;608000;Devoluciones de compras de mercaderías
6081000;608100;Devoluciones de compras de materias primas;608100;Devoluciones de compras de materias primas
6082000;608200;Devoluciones de compras de otros aprovisionamiento;608200;Devoluciones de compras de otros aprovisionamientos
6090000;609000;"""Rappels"" por compras de mercaderías";609000;"""Rappels"" por compras de mercaderías"
6091000;609100;"""Rappels"" por compras de materias primas";609100;"""Rappels"" por compras de materias primas"
6092000;609200;"""Rappels"" por compras de otros aprovisionamientos";609200;"""Rappels"" por compras de otros aprovisionamientos"
6100000;610000;Variación de existencias de mercaderías;610000;Variación de existencias de mercaderías
6110000;611000;Variación de existencias de materias primas;611000;Variación de existencias de materias primas
6120000;612000;Variación de existencias otros aprovisionamientos;612000;Variación de existencias de otros aprovisionamientos
6200000;620000;Gastos en investigación y desarrollo del ejercicio;620000;Gastos en investigación y desarrollo del ejercicio
6210000;621000;Arrendamientos y cánones;621000;Arrendamientos y cánones
6220000;622000;Reparaciones y conservación;622000;Reparaciones y conservación
6230000;623000;SERVICIOS DE PROFESIONALES INDEPENDIENTES;623000;Servicios de profesionales independientes
6240000;624000;Transportes;624000;Transportes
6250000;625000;Primas de seguros;625000;Primas de seguros
6260000;626000;SERVICIOS BANCARIOS Y SIMILARES;626000;Servicios bancarios y similares
6270000;627000;PUBLICIDAD PROPAGANDA Y RELACIONES PUBLICAS;627000;Publicidad, propaganda y relaciones públicas
6280000;628000;Suministros;628000;Suministros
6290000;629000;Otros servicios;629000;Otros servicios
6300000;630000;Impuesto corriente;630000;Impuesto corriente
6301000;630100;Impuesto diferido;630100;Impuesto diferido
6310000;631000;Otros tributos;631000;Otros tributos
6330000;633000;Ajustes negativos en la imposición sobre beneficio;633000;Ajustes negativos en la imposición sobre beneficios
6341000;634100;Ajustes negativos en IVA de activo corriente;634100;Ajustes negativos en IVA de activo corriente
6342000;634200;Ajustes negativos en IVA de inversiones;634200;Ajustes negativos en IVA de inversiones
6360000;636000;Devolución de impuestos;636000;Devolución de impuestos
6380000;638000;Ajustes positivos en la imposición sobre beneficio;638000;Ajustes positivos en la imposición sobre beneficios
6391000;639100;Ajustes positivos en IVA de activo corriente;639100;Ajustes positivos en IVA de activo corriente
6392000;639200;Ajustes positivos en IVA de inversiones;639200;Ajustes positivos en IVA de inversiones
6400000;640000;Sueldos y salarios;640000;Sueldos y salarios
6410000;641000;Indemnizaciones;641000;Indemnizaciones
6420000;642000;Seguridad Social a cargo de la empresa;642000;Seguridad Social a cargo de la empresa
